date,account,trades_count,net_pnl,avg_pnl,total_volume,profitable_trades,win_rate,profitable_day,value,classification,sentiment_numeric
2024-05-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8,965.5522,120.694,25965.08,8,1.0,1,67.0,Greed,3.0
2024-05-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,23986.05,0,0.0,0,69.0,Greed,3.0
2024-05-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,0.916,0.458,82.3,1,0.5,1,69.0,Greed,3.0
2024-05-06,0x8477e447846c758f5a675856001ea72298fd9cb5,54,56.0555,1.0381,25350.77,16,0.2962962962962963,1,71.0,Greed,3.0
2024-05-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,20,0.0,0.0,270298.74,0,0.0,0,68.0,Greed,3.0
2024-05-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,12,0.0,0.0,1991.15,0,0.0,0,68.0,Greed,3.0
2024-05-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,16,-470.8181,-29.4261,112014.2,0,0.0,0,64.0,Greed,3.0
2024-05-08,0x8477e447846c758f5a675856001ea72298fd9cb5,17,160.4437,9.4379,40082.51,7,0.4117647058823529,1,64.0,Greed,3.0
2024-05-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2,0.0,0.0,20107.61,0,0.0,0,64.0,Greed,3.0
2024-05-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,43,-3366.8235,-78.2982,127288.08,26,0.6046511627906976,0,64.0,Greed,3.0
2024-05-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,0.0,0.84,0,0.0,0,55.0,Greed,3.0
2024-05-10,0x430f09841d65beb3f27765503d0f850b8bce7713,1,0.0,0.0,0.61,0,0.0,0,66.0,Greed,3.0
2024-05-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,36,5767.1619,160.1989,605605.13,24,0.6666666666666666,1,66.0,Greed,3.0
2024-05-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,10,678.4759,67.8476,200627.23,5,0.5,1,53.0,Neutral,2.0
2024-05-12,0x271b280974205ca63b716753467d5a371de622ab,4,208.8175,52.2044,158123.95,3,0.75,1,56.0,Greed,3.0
2024-05-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,97,10288.925,106.0714,20406.19,47,0.4845360824742268,1,56.0,Greed,3.0
2024-05-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,33,2069.9263,62.725,29373.46,30,0.9090909090909091,1,56.0,Greed,3.0
2024-05-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,6,0.0,0.0,61428.49,0,0.0,0,56.0,Greed,3.0
2024-05-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,290,3174.0237,10.9449,170421.23,106,0.36551724137931035,1,56.0,Greed,3.0
2024-05-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,19,1435.6872,75.5625,761409.11,2,0.10526315789473684,1,56.0,Greed,3.0
2024-05-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2,0.0,0.0,588.53,0,0.0,0,56.0,Greed,3.0
2024-06-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,22,135.5817,6.1628,298521.4,10,0.45454545454545453,1,72.0,Greed,3.0
2024-06-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1088,-215.6159,-0.1982,8047153.41,179,0.1645220588235294,0,73.0,Greed,3.0
2024-06-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,82,6814.8251,83.1076,327218.02,72,0.8780487804878049,1,73.0,Greed,3.0
2024-06-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,16,236.3351,14.7709,68223.67,4,0.25,1,73.0,Greed,3.0
2024-06-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,9,968.5904,107.6212,206016.43,4,0.4444444444444444,1,75.0,Extreme Greed,4.0
2024-06-06,0x8477e447846c758f5a675856001ea72298fd9cb5,234,274.1732,1.1717,137557.76,100,0.42735042735042733,1,78.0,Extreme Greed,4.0
2024-06-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,24,108.8722,4.5363,2490.17,7,0.2916666666666667,1,77.0,Extreme Greed,4.0
2024-06-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,27,215.7548,7.9909,771.0,8,0.2962962962962963,1,72.0,Greed,3.0
2024-06-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,80,51.5632,0.6445,60707.38,5,0.0625,1,72.0,Greed,3.0
2024-06-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,34990.67,0,0.0,0,75.0,Extreme Greed,4.0
2024-06-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,38,-1104.8568,-29.0752,4056.43,0,0.0,0,75.0,Extreme Greed,4.0
2024-06-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,22,130.4871,5.9312,300130.56,5,0.22727272727272727,1,72.0,Greed,3.0
2024-06-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,3,-3.4112,-1.1371,2000.52,0,0.0,0,74.0,Greed,3.0
2024-06-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,12,2821.2484,235.104,121906.38,7,0.5833333333333334,1,74.0,Greed,3.0
2024-06-12,0x083384f897ee0f19899168e3b1bec365f52a9012,28,-10274.9996,-366.9643,70931.63,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,34,0.0,0.0,48513.58,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,69,389.1762,5.6402,8956.57,16,0.2318840579710145,1,72.0,Greed,3.0
2024-06-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,9,-123.8701,-13.7633,20916.4,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,20,0.0,0.0,33151.06,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x420ab45e0bd8863569a5efbb9c05d91f40624641,45,0.0,0.0,480326.66,0,0.0,0,72.0,Greed,3.0
